Strategy,Final Value,PnL,PnL %,Total Trades,Won,Lost,Win Rate %,Max Drawdown %,Max DD Duration (bars),Sharpe Ratio,Symbol
Keltner Tuned (ATR 2.0 + EMA),102909.11,2909.11,2.91,5,2,3,40.0,16.7,103.0,-2.119,ADANIENSOL
Keltner + EMA Cross (NEW),151047.28,51047.28,51.05,1,0,0,0.0,10.16,19.0,0.745,ADANIENSOL
Keltner Breakout (ATR 1.5),120352.92,20352.92,20.35,7,4,2,57.14,13.15,100.0,2.282,ADANIENSOL
Bollinger RSI,142580.28,42580.28,42.58,2,2,0,100.0,11.54,26.0,1.346,ADANIENSOL
Squeeze Breakout,112977.11,12977.11,12.98,3,1,2,33.33,10.3,68.0,-0.002,ADANIENSOL
Keltner Tuned (ATR 2.0 + EMA),95808.57,-4191.43,-4.19,5,1,4,20.0,15.74,193.0,-1.038,ADANIPORTS
Keltner + EMA Cross (NEW),120770.38,20770.38,20.77,3,1,1,33.33,12.89,99.0,0.547,ADANIPORTS
Keltner Breakout (ATR 1.5),102054.45,2054.45,2.05,6,1,4,16.67,11.71,148.0,-0.764,ADANIPORTS
Bollinger RSI,134044.44,34044.44,34.04,1,0,0,0.0,16.29,45.0,1.244,ADANIPORTS
Squeeze Breakout,97325.97,-2674.03,-2.67,1,0,1,0.0,2.67,127.0,-186.974,ADANIPORTS
Keltner Tuned (ATR 2.0 + EMA),135501.77,35501.77,35.5,4,2,2,50.0,19.66,117.0,1.962,ADANIPOWER
Keltner + EMA Cross (NEW),128611.44,28611.44,28.61,3,1,2,33.33,14.23,40.0,0.546,ADANIPOWER
Keltner Breakout (ATR 1.5),148452.48,48452.48,48.45,4,3,1,75.0,19.71,117.0,10.523,ADANIPOWER
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,ADANIPOWER
Squeeze Breakout,100461.4,461.4,0.46,5,1,4,20.0,18.71,155.0,-0.904,ADANIPOWER
Keltner Tuned (ATR 2.0 + EMA),101696.09,1696.09,1.7,3,1,2,33.33,18.38,91.0,-2.829,AMBER
Keltner + EMA Cross (NEW),96084.79,-3915.21,-3.92,1,0,1,0.0,19.29,86.0,-4.32,AMBER
Keltner Breakout (ATR 1.5),106059.11,6059.11,6.06,3,2,1,66.67,18.49,91.0,-1.863,AMBER
Bollinger RSI,100860.77,860.77,0.86,1,1,0,100.0,24.71,156.0,-0.437,AMBER
Squeeze Breakout,113364.46,13364.46,13.36,1,1,0,100.0,4.77,126.0,0.047,AMBER
